id,district_id,name,men,women
9206,905,ΠΕΡΑΜΑΤΟΣ,11305,11953
9207,906,ΑΓΚΙΣΤΡΙΟΥ,536000,515000
9208,906,ΑΙΓΙΝΑΣ,6391,6829
9209,906,ΚΥΘΗΡΩΝ,3597,3636
9210,906,ΠΟΡΟΥ,2190,2388
9211,906,ΣΑΛΑΜΙΝΑΣ,15207,16105
9212,906,ΣΠΕΤΣΩΝ,2110,2191
9213,906,ΤΡΟΙΖΗΝΙΑΣ,4059,4050
9214,906,ΥΔΡΑΣ,1573,1622
9215,907,ΑΧΑΡΝΩΝ,32452,33945
9216,907,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ,17715,19439
9217,907,ΔΙΟΝΥΣΟΥ,12490,13524
9218,907,ΚΡΩΠΙΑΣ,9235,9812
9219,907,ΛΑΥΡΕΩΤΙΚΗΣ,9734,10263
9220,907,ΜΑΡΑΘΩΝΟΣ,11125,11897
9221,907,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,6291,6737
9222,907,ΠΑΙΑΝΙΑΣ,8367,8956
9223,907,ΠΑΛΛΗΝΗΣ,14614,15604
9224,907,ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ,6306,6787
9225,907,ΣΑΡΩΝΙΚΟΥ,10476,11200
9226,907,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,11088,11620
9227,907,ΩΡΩΠΟΥ,11548,11982
9228,908,ΑΣΠΡΟΠΥΡΓΟΥ,11432,11742
9229,908,ΕΛΕΥΣΙΝΑΣ,11649,12259
9230,908,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,8635,9210
9231,908,ΜΕΓΑΡΕΩΝ,13545,14481
9232,908,ΦΥΛΗΣ,16038,16944
9233,1001,ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,21825,22296
9234,1001,ΕΠΙΔΑΥΡΟΥ,4500,4607
9235,1001,ΕΡΜΙΟΝΙΔΑΣ,6257,6407
9236,1001,ΝΑΥΠΛΙΕΩΝ,14405,15199
9237,1002,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,7508,7495
9238,1002,ΓΟΡΤΥΝΙΑΣ,13495,13333
9239,1002,ΜΕΓΑΛΟΠΟΛΗΣ,8467,8381
9240,1002,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,5382,5361
9241,1002,ΤΡΙΠΟΛΗΣ,30764,30843
9242,1003,ΒΕΛΟΥ - ΒΟΧΑΣ,8656,9182
9243,1003,ΚΟΡΙΝΘΙΩΝ,24401,25714
9244,1003,ΛΟΥΤΡΑΚΙΟΥ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,8902,9488
9245,1003,ΝΕΜΕΑΣ,3840,4070
9246,1003,ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ,10208,11463
9247,1003,ΣΙΚΥΩΝΙΩΝ,12452,12798
9248,1004,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,11165,11386
9249,1004,ΕΛΑΦΟΝΗΣΟΥ,623000,593000
9250,1004,ΕΥΡΩΤΑ,11360,11737
9251,1004,ΜΟΝΕΜΒΑΣΙΑΣ,13888,13808
9252,1004,ΣΠΑΡΤΗΣ,25901,28220
